en-US	de-DE	es-ES	es-MX	fr-CA	fr-FR	fr-CH	fr-BE	it-IT	it-CH	ja-JP	nl-NL	nl-BE	pt-BR	zh-CN	en-CA	en-IN	en-AU	en-EU	en-MY	en-SG	es-AR	es-ROAM	de-CH	de-AT	en-CH	en-NZ	en-PH	en-ZA
What size room are you setting up? 	Wie groß ist der Raum, den Sie einrichten?	¿Qué tamaño de sala va a configurar?	¿Cuál es el tamaño de la sala que estás instalando?	Quelle taille de salle configurez-vous?	Quelle taille de salle configurez-vous?	Quelle taille de salle configurez-vous?	Quelle taille de salle configurez-vous?	Di quali dimensioni è la stanza che stai allestendo?	Di quali dimensioni è la stanza che stai allestendo?	構成しようとしている会議室はどの程度の規模ですか？	Hoe groot is de ruimte die u inricht?	Hoe groot is de ruimte die u inricht?	Qual é o tamanho da sala que será equipada?	您要设置多大的会议室？	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 	¿Cuál es el tamaño de la sala que estás instalando?	¿Cuál es el tamaño de la sala que estás instalando?	Wie groß ist der Raum, den Sie einrichten?	Wie groß ist der Raum, den Sie einrichten?	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 	What size room are you setting up? 
Choose the option that best matches the seating capacity of your room.	Wählen Sie die Option, die am besten zu der Kapazität Ihres Raums passt.	Elija la opción que mejor se adapte a la capacidad de su sala.	Elige la opción que mejor se adapte a la cantidad de asientos de tu sala.	Choisissez l’option qui correspond le mieux à la capacité de votre salle.	Choisissez l’option qui correspond le mieux à la capacité de votre salle.	Choisissez l’option qui correspond le mieux à la capacité de votre salle.	Choisissez l’option qui correspond le mieux à la capacité de votre salle.	Scegli l’opzione più adatta alla capienza della sala.	Scegli l’opzione più adatta alla capienza della sala.	会議室の収容人数が最も近いものをお選びください。	Kies de optie die het beste past bij de capaciteit van uw ruimte.	Kies de optie die het beste past bij de capaciteit van uw ruimte.	Escolha a opção que melhor corresponda ao número de assentos da sua sala.	选择最符合您的会议室座位容量的选项。	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Elige la opción que mejor se adapte a la cantidad de asientos de tu sala.	Elige la opción que mejor se adapte a la cantidad de asientos de tu sala.	Wählen Sie die Option, die am besten zu der Kapazität Ihres Raums passt.	Wählen Sie die Option, die am besten zu der Kapazität Ihres Raums passt.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.	Choose the option that best matches the seating capacity of your room.
Up to 2	Bis zu 2	Hasta 2	Hasta 2	Jusqu’à 2	Jusqu’à 2	Jusqu’à 2	Jusqu’à 2	Fino a 2	Fino a 2	最大2名	Max. 2	Max. 2	Até 2	最多 2 个	Up to 2	Up to 2	Up to 2	Up to 2	Up to 2	Up to 2	Hasta 2	Hasta 2	Bis zu 2	Bis zu 2	Up to 2	Up to 2	Up to 2	Up to 2
Phone Booth	Telefonzelle	Cabina	Cabina	Cabine téléphonique	Cabine téléphonique	Cabine téléphonique	Cabine téléphonique	Phone booth	Phone booth	フォンブース	Telefooncabine	Telefooncabine	Cabine telefônica	微型隔间	Phone Booth	Phone Booth	Phone Booth	Phone Booth	Phone Booth	Phone Booth	Cabina	Cabina	Telefonzelle	Telefonzelle	Phone Booth	Phone Booth	Phone Booth	Phone Booth
Up to 4	Bis zu 4	Hasta 4	Hasta 4	Jusqu’à 4	Jusqu’à 4	Jusqu’à 4	Jusqu’à 4	Fino a 4	Fino a 4	最大4名	Max. 4	Max. 4	Até 4	最多 4 个	Up to 4	Up to 4	Up to 4	Up to 4	Up to 4	Up to 4	Hasta 4	Hasta 4	Bis zu 4	Bis zu 4	Up to 4	Up to 4	Up to 4	Up to 4
Huddle Room	Huddle-Room	Espacio de reunión reducido	Espacio de reunión pequeño	Petite salle de conférence	Petite salle de conférence	Petite salle de conférence	Petite salle de conférence	Sale di piccole dimensioni	Sale di piccole dimensioni	ハドルルーム	Teamruimte	Teamruimte	Sala pequena	微型会议室	Huddle Room	Huddle Room	Huddle Room	Huddle Room	Huddle Room	Huddle Room	Espacio de reunión pequeño	Espacio de reunión pequeño	Huddle-Room	Huddle-Room	Huddle Room	Huddle Room	Huddle Room	Huddle Room
Up to 6	Bis zu 6	Hasta 6	Hasta 6	Jusqu’à 6	Jusqu’à 6	Jusqu’à 6	Jusqu’à 6	Fino a 6	Fino a 6	最大6名	Max. 6	Max. 6	Até 6	最多 6 个	Up to 6	Up to 6	Up to 6	Up to 6	Up to 6	Up to 6	Hasta 6	Hasta 6	Bis zu 6	Bis zu 6	Up to 6	Up to 6	Up to 6	Up to 6
Small Room	Kleiner Raum	Sala pequeña	Sala pequeña	Petite salle	Petite salle	Petite salle	Petite salle	Sala piccola	Sala piccola	小会議室	Kleine ruimte	Kleine ruimte	Salas pequenas	小型会议室	Small Room	Small Room	Small Room	Small Room	Small Room	Small Room	Sala pequeña	Sala pequeña	Kleiner Raum	Kleiner Raum	Small Room	Small Room	Small Room	Small Room
Up to 12	Bis zu 12	Hasta 12	Hasta 12	Jusqu’à 12	Jusqu’à 12	Jusqu’à 12	Jusqu’à 12	Fino a 12	Fino a 12	最大12名	Max. 12	Max. 12	Até 12	最多 12 个	Up to 12	Up to 12	Up to 12	Up to 12	Up to 12	Up to 12	Hasta 12	Hasta 12	Bis zu 12	Bis zu 12	Up to 12	Up to 12	Up to 12	Up to 12
Medium Room	Mittelgroßer Raum	Sala mediana	Sala mediana	Salle moyenne	Salle moyenne	Salle moyenne	Salle moyenne	Sala media	Sala media	中会議室	Middelgrote ruimte	Middelgrote ruimte	Salas médias	中型会议室	Medium Room	Medium Room	Medium Room	Medium Room	Medium Room	Medium Room	Sala mediana	Sala mediana	Mittelgroßer Raum	Mittelgroßer Raum	Medium Room	Medium Room	Medium Room	Medium Room
Up to 20	Bis zu 20	Hasta 20	Hasta 20	Jusqu’à 20	Jusqu’à 20	Jusqu’à 20	Jusqu’à 20	Fino a 20	Fino a 20	最大20名	Max. 20	Max. 20	Até 20	最多 20 个	Up to 20	Up to 20	Up to 20	Up to 20	Up to 20	Up to 20	Hasta 20	Hasta 20	Bis zu 20	Bis zu 20	Up to 20	Up to 20	Up to 20	Up to 20
Large Room	Großer Raum	Sala grande	Sala grande	Grandes salles	Grandes salles	Grandes salles	Grandes salles	Sala grande	Sala grande	大会議室	Grote ruimte	Grote ruimte	Salas grandes	大型会议室	Large Room	Large Room	Large Room	Large Room	Large Room	Large Room	Sala grande	Sala grande	Großer Raum	Großer Raum	Large Room	Large Room	Large Room	Large Room
More than  20	Mehr als 20	Más de 20	Más de 20	Plus de 20	Plus de 20	Plus de 20	Plus de 20	Più di 20	Più di 20	20名以上	Meer dan 20	Meer dan 20	Mais de 20	20 个以上	More than  20	More than  20	More than  20	More than  20	More than  20	More than  20	Más de 20	Más de 20	Mehr als 20	Mehr als 20	More than  20	More than  20	More than  20	More than  20
Alternative	Alternative	Alternativa	Alternativa	Salle alternative	Salle alternative	Salle alternative	Salle alternative	Alternativa	Alternativa	代替選択	Alternatief	Alternatief	Alternativa	替代方案	Alternative	Alternative	Alternative	Alternative	Alternative	Alternative	Alternativa	Alternativa	Alternative	Alternative	Alternative	Alternative	Alternative	Alternative
What is your primary video conferencing platform?	Was ist Ihre primäre Videokonferenzplattform?	¿Cuál es su principal plataforma de videoconferencia?	¿Cuál es tu principal plataforma de videoconferencia?	Quelle est votre principale plateforme de visioconférence?	Quelle est votre principale plateforme de visioconférence?	Quelle est votre principale plateforme de visioconférence?	Quelle est votre principale plateforme de visioconférence?	Qual è la tua piattaforma per videoconferenze principale?	Qual è la tua piattaforma per videoconferenze principale?	主にご使用のビデオ会議プラットフォームはどれですか？	Wat is uw belangrijkste platform voor videovergaderen?	Wat is uw belangrijkste platform voor videovergaderen?	Qual é a sua principal plataforma de videoconferência ?	您的主要视频会议平台是什么？	What is your primary video conferencing platform?	What is your primary video conferencing platform?	What is your primary video conferencing platform?	What is your primary video conferencing platform?	What is your primary video conferencing platform?	What is your primary video conferencing platform?	¿Cuál es tu principal plataforma de videoconferencia?	¿Cuál es tu principal plataforma de videoconferencia?	Was ist Ihre primäre Videokonferenzplattform?	Was ist Ihre primäre Videokonferenzplattform?	What is your primary video conferencing platform?	What is your primary video conferencing platform?	What is your primary video conferencing platform?	What is your primary video conferencing platform?
Choose the video conferencing platform your organization uses most often.	Wählen Sie die Videokonferenzplattform, die Ihr Unternehmen am häufigsten verwendet.	Elija la plataforma de videoconferencia que su organización utiliza con más frecuencia.	Elige la plataforma de videoconferencia que tu organización usa con mayor frecuencia.	Choisissez la plateforme de visioconférence que votre organisation utilise le plus souvent.	Choisissez la plateforme de visioconférence que votre organisation utilise le plus souvent.	Choisissez la plateforme de visioconférence que votre organisation utilise le plus souvent.	Choisissez la plateforme de visioconférence que votre organisation utilise le plus souvent.	Scegli la piattaforma per videoconferenze maggiormente utilizzata dalla tua azienda.	Scegli la piattaforma per videoconferenze maggiormente utilizzata dalla tua azienda.	御社が最もよく使用するビデオ会議プラットフォームをお選びください。	Kies het platform voor videovergaderen dat uw organisatie het vaakst gebruikt.	Kies het platform voor videovergaderen dat uw organisatie het vaakst gebruikt.	Escolha a plataforma de videoconferência que sua organização mais usa.	选择贵组织最常用的视频会议平台。	Choose the video conferencing platform your organization uses most often.	Choose the video conferencing platform your organization uses most often.	Choose the video conferencing platform your organization uses most often.	Choose the video conferencing platform your organization uses most often.	Choose the video conferencing platform your organization uses most often.	Choose the video conferencing platform your organization uses most often.	Elige la plataforma de videoconferencia que tu organización usa con mayor frecuencia.	Elige la plataforma de videoconferencia que tu organización usa con mayor frecuencia.	Wählen Sie die Videokonferenzplattform, die Ihr Unternehmen am häufigsten verwendet.	Wählen Sie die Videokonferenzplattform, die Ihr Unternehmen am häufigsten verwendet.	Choose the video conferencing platform your organization uses most often.	Choose the video conferencing platform your organization uses most often.	Choose the video conferencing platform your organization uses most often.	Choose the video conferencing platform your organization uses most often.
Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet	Google Meet
Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams	Microsoft Teams
Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom	Zoom
Looking for another solution?	Sie suchen nach einer anderen Lösung?	¿Busca otra solución?	¿Buscas otra solución?	Vous recherchez une autre solution?	Vous recherchez une autre solution?	Vous recherchez une autre solution?	Vous recherchez une autre solution?	Cerchi un’altra soluzione?	Cerchi un’altra soluzione?	別のソリューションをお探しですか？	Op zoek naar een andere oplossing?	Op zoek naar een andere oplossing?	Procura outra solução?	正在寻找其他解决方案？	Looking for another solution?	Looking for another solution?	Looking for another solution?	Looking for another solution?	Looking for another solution?	Looking for another solution?	¿Buscas otra solución?	¿Buscas otra solución?	Sie suchen nach einer anderen Lösung?	Sie suchen nach einer anderen Lösung?	Looking for another solution?	Looking for another solution?	Looking for another solution?	Looking for another solution?
Choose a Bring-Your-Own-Device setup	Wählen Sie ein Setup zur Verwendung eigener Geräte (BYOD).	Elija el modo de dispositivo propio.	Elige una configuración de “Trae tu propio dispositivo”.	Choisissez une configuration BYOD (J’apporte mon matériel).	Choisissez une configuration BYOD (J’apporte mon matériel).	Choisissez une configuration BYOD (J’apporte mon matériel).	Choisissez une configuration BYOD (J’apporte mon matériel).	Scegli la configurazione Bring Your Own Device.	Scegli la configurazione Bring Your Own Device.	BYOD（Bring Your Own Device）セットアップを選びます。	Kies voor een Bring-Your-Own-Device-opstelling.	Kies voor een Bring-Your-Own-Device-opstelling.	Escolha uma configuração “traga seu próprio dispositivo” [Bring Your Own Device].	选择自带设备设置。	Choose a Bring-Your-Own-Device setup.	Choose a Bring-Your-Own-Device setup.	Choose a Bring-Your-Own-Device setup.	Choose a Bring-Your-Own-Device setup.	Choose a Bring-Your-Own-Device setup.	Choose a Bring-Your-Own-Device setup.	Elige una configuración de “Trae tu propio dispositivo”.	Elige una configuración de “Trae tu propio dispositivo”.	Wählen Sie ein Setup zur Verwendung eigener Geräte (BYOD).	Wählen Sie ein Setup zur Verwendung eigener Geräte (BYOD).	Choose a Bring-Your-Own-Device setup.	Choose a Bring-Your-Own-Device setup.	Choose a Bring-Your-Own-Device setup.	Choose a Bring-Your-Own-Device setup.
Do you prefer a video conferencing appliance, or having a dedicated computing device?	Bevorzugen Sie eine Videokonferenz-Appliance oder ein eigenes Computergerät?	¿Prefiere un dispositivo de videoconferencia o tener un dispositivo informático específico?	¿Prefieres un dispositivo de videoconferencia o tener un dispositivo informático dedicado?	Vous préférez une appliance de visioconférence ou un dispositif informatique dédié?	Vous préférez une appliance de visioconférence ou un dispositif informatique dédié?	Vous préférez une appliance de visioconférence ou un dispositif informatique dédié?	Vous préférez une appliance de visioconférence ou un dispositif informatique dédié?	Preferisci un dispositivo per videoconferenze o un dispositivo di elaborazione dedicato?	Preferisci un dispositivo per videoconferenze o un dispositivo di elaborazione dedicato?	ベースには、ビデオ会議アプライアンスまたは専用コンピューティングデバイスのどちらをご希望ですか？	Geeft u de voorkeur aan een apparaat voor videovergaderen of een vaste computer?	Geeft u de voorkeur aan een apparaat voor videovergaderen of een vaste computer?	Você prefere um appliance de videoconferência ou um dispositivo de computação exclusivo?	您更喜欢视频会议设备，还是专用的计算设备？	Do you prefer a video conferencing appliance, or having a dedicated computing device?	Do you prefer a video conferencing appliance, or having a dedicated computing device?	Do you prefer a video conferencing appliance, or having a dedicated computing device?	Do you prefer a video conferencing appliance, or having a dedicated computing device?	Do you prefer a video conferencing appliance, or having a dedicated computing device?	Do you prefer a video conferencing appliance, or having a dedicated computing device?	¿Prefieres un dispositivo de videoconferencia o tener un dispositivo informático dedicado?	¿Prefieres un dispositivo de videoconferencia o tener un dispositivo informático dedicado?	Bevorzugen Sie eine Videokonferenz-Appliance oder ein eigenes Computergerät?	Bevorzugen Sie eine Videokonferenz-Appliance oder ein eigenes Computergerät?	Do you prefer a video conferencing appliance, or having a dedicated computing device?	Do you prefer a video conferencing appliance, or having a dedicated computing device?	Do you prefer a video conferencing appliance, or having a dedicated computing device?	Do you prefer a video conferencing appliance, or having a dedicated computing device?
Appliance-Based	Appliance-basiert	Basada en aparatos	Basado en dispositivos	Basée sur une appliance	Basée sur une appliance	Basée sur une appliance	Basée sur une appliance	Basato su appliance	Basato su appliance	アプライアンスベース構成	Op apparaten gebaseerd	Op apparaten gebaseerd	Appliance	基于一体化设备	Appliance-Based	Appliance-Based	Appliance-Based	Appliance-Based	Appliance-Based	Appliance-Based	Basado en dispositivos	Basado en dispositivos	Appliance-basiert	Appliance-basiert	Appliance-Based	Appliance-Based	Appliance-Based	Appliance-Based
